TCESUCCESS	Success
TCETHREAD	ThreadingError
TCEINVALID	InvalidOperation
TCENOFILE	FileNotFound
TCENOPERM	NoPermission
TCEMETA	InvalidMetaData
TCERHEAD	InvalidRecordHeader
TCEOPEN	OpenError
TCECLOSE	CloseError
TCETRUNC	TruncError
TCESYNC	SyncError
TCESTAT	StatError
TCESEEK	SeekError
TCEREAD	ReadError
TCEWRITE	WriteError
TCEMMAP	MmapError
TCELOCK	LockError
TCEUNLINK	UnlinkError
TCERENAME	RenameError
TCEMKDIR	MkdirError
TCERMDIR	RmdirError
TCEKEEP	ExistingRecord
TCENOREC	NoRecordFound
TCEMISC	MiscellaneousError
